Restaurant_ID,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability
RES000106,0.02,2.24,1.36,44,41,2.19,13.02,0.015,True
RES000107,9.22,0.45,1.28,20,23,1.16,6.04,0.063,True
RES000111,6.67,2.27,0.56,79,76,2.41,23.79,0.011,False
RES000112,3.96,2.09,0.88,53,56,1.93,11.46,0.099,False
RES000114,6.6,3.63,0.52,89,88,2.09,8.66,0.072,False
RES000115,3.14,1.83,1.37,29,28,1.68,13.0,0.026,False
RES000118,9.89,3.67,1.64,61,57,1.33,21.38,0.061,False
RES000122,5.5,2.53,0.28,77,78,2.38,22.22,0.098,True
RES000123,3.79,2.91,1.49,30,25,1.33,10.57,0.077,True
RES000124,4.5,4.1,2.0,47,56,2.31,8.54,0.027,False
RES000125,8.39,0.37,0.56,47,55,1.9,10.71,0.078,True
RES000126,0.67,4.44,1.81,82,78,2.28,14.45,0.023,True
RES000127,6.53,4.95,1.81,83,78,2.33,20.6,0.097,False
RES000129,9.16,4.13,1.37,20,30,2.41,3.87,0.071,False
RES000130,1.1,4.7,1.76,36,35,1.96,10.26,0.044,True
RES000132,4.61,0.36,0.99,88,92,2.14,15.82,0.078,False
RES000133,9.48,1.29,1.12,61,59,1.76,2.12,0.002,False
RES000135,2.69,1.01,0.88,89,88,2.0,9.08,0.07,False
RES000136,1.13,1.28,1.54,48,45,1.54,5.69,0.031,False
RES000137,3.4,4.88,0.01,80,85,1.01,6.25,0.082,True
RES000138,1.37,1.21,1.81,59,67,1.87,6.7,0.087,False
RES000139,5.54,0.26,1.77,18,26,1.46,10.91,0.008,True
RES000140,5.71,2.3,1.18,36,37,2.29,19.59,0.018,True
RES000141,3.02,2.43,0.45,70,75,1.36,8.71,0.01,True
RES000142,8.32,4.74,1.94,49,56,2.29,17.16,0.098,False
RES000143,7.8,1.56,1.55,87,97,2.44,10.66,0.067,False
RES000148,8.93,2.65,0.91,18,25,1.26,16.73,0.009,True
RES000149,1.75,4.23,1.53,72,79,1.01,15.15,0.019,True
RES000152,0.99,4.47,0.09,85,90,1.19,24.41,0.054,True
RES000153,2.09,4.17,0.64,15,23,1.85,1.98,0.071,True
RES000154,7.0,1.5,0.29,66,76,2.3,7.99,0.038,True
RES000155,4.5,4.77,1.83,16,19,2.27,2.26,0.083,False
RES000156,8.3,0.42,1.4,52,53,2.49,10.91,0.002,True
RES000159,4.66,3.7,0.73,35,31,2.07,13.56,0.045,False
RES000162,0.22,4.37,0.24,17,18,1.89,21.34,0.033,True
RES000163,0.55,1.51,1.22,20,20,1.96,19.92,0.042,True
RES000164,2.53,2.08,1.35,63,68,2.12,5.27,0.1,False
RES000166,6.04,2.02,0.41,41,42,1.19,9.61,0.022,True
RES000167,9.94,3.56,0.53,67,69,2.42,9.67,0.042,True
RES000168,8.97,3.17,0.4,44,42,2.19,24.02,0.024,True
RES000169,0.45,3.26,0.59,61,68,1.12,21.95,0.065,True
RES000171,2.17,1.78,1.93,15,23,2.15,19.44,0.078,True
RES000172,9.26,4.92,0.08,86,93,2.16,17.58,0.085,False
RES000173,0.56,3.05,0.66,84,84,1.31,15.54,0.019,False
RES000174,1.45,1.2,1.87,15,25,2.1,5.21,0.08,True
RES000175,0.17,4.19,1.36,88,97,2.21,4.97,0.091,True
RES000176,4.08,3.41,1.69,56,57,1.57,5.41,0.025,True
RES000177,9.33,1.02,0.4,39,47,2.33,15.69,0.0,True
RES000181,3.58,3.56,0.32,25,29,1.41,12.77,0.037,True
RES000183,4.33,4.56,0.3,29,24,1.74,7.7,0.073,False
RES000186,2.88,2.25,0.72,64,71,2.37,6.01,0.073,True
RES000187,9.9,4.23,1.36,31,41,2.29,14.81,0.072,True
RES000188,7.8,0.84,0.51,40,49,2.43,17.02,0.001,False
RES000189,1.39,1.67,1.74,77,84,1.94,1.2,0.079,True
RES000190,9.34,1.56,1.57,84,86,1.4,17.56,0.087,False
RES000193,6.83,1.23,0.98,44,40,2.38,8.89,0.083,True
RES000194,8.14,0.96,0.86,30,33,1.69,2.93,0.058,False
RES000195,4.79,4.96,1.59,20,29,1.65,15.39,0.063,False
RES000200,3.07,4.56,0.48,72,75,1.71,19.59,0.076,True
RES000201,5.38,3.27,0.98,54,59,1.17,2.81,0.025,True
RES000202,7.85,3.88,1.9,67,65,1.25,16.53,0.014,True
RES000203,6.13,3.82,1.2,64,66,1.06,20.51,0.091,True
RES000204,8.1,0.36,1.26,71,69,1.33,9.38,0.061,True
RES000205,5.0,3.5,0.52,46,50,2.05,7.69,0.01,False
RES000206,3.12,1.67,0.75,88,90,2.4,21.84,0.001,True
RES000207,9.4,3.47,0.8,71,72,1.7,7.16,0.028,True
RES000208,6.07,1.34,0.68,72,71,2.44,18.12,0.064,False
RES000210,2.32,3.84,1.75,54,61,2.28,7.03,0.036,False
RES000211,3.35,2.32,0.38,73,73,2.07,16.14,0.066,True
RES000214,6.45,0.57,1.13,25,32,1.91,11.91,0.077,True
RES000216,1.53,1.66,1.04,70,68,1.59,12.17,0.014,False
RES000217,0.89,0.95,1.4,71,66,1.98,12.79,0.032,False
RES000218,5.76,0.07,0.47,46,49,1.38,2.46,0.047,False
RES000221,9.9,1.37,1.02,26,27,1.6,14.12,0.068,True
RES000222,6.96,4.85,1.59,57,66,1.52,16.96,0.056,True
RES000223,9.65,4.05,0.89,64,59,1.25,24.67,0.021,True
RES000224,3.23,3.76,1.99,64,63,1.25,18.8,0.035,True
RES000225,8.53,4.96,0.34,34,31,1.6,4.03,0.023,True
RES000226,7.34,4.72,0.25,40,44,2.27,13.37,0.057,True
RES000227,1.04,4.13,0.62,70,65,1.09,4.22,0.07,True
RES000228,2.1,4.94,0.36,63,70,1.73,18.19,0.024,True
RES000230,6.45,1.77,0.2,34,31,1.11,16.23,0.014,False
RES000231,6.97,4.44,0.32,42,37,1.35,24.66,0.052,True
RES000235,8.58,3.33,1.26,83,83,1.52,20.39,0.058,True
RES000238,5.78,2.02,0.79,88,98,2.04,1.83,0.058,False
RES000242,0.39,3.69,1.3,63,58,1.43,3.85,0.022,False
RES000243,1.43,1.4,1.74,60,68,2.35,5.21,0.003,True
RES000244,0.71,4.65,0.52,82,80,1.18,23.52,0.036,False
RES000246,8.21,4.94,0.8,29,36,1.26,0.84,0.079,False
RES000247,1.31,0.78,0.81,89,86,1.91,13.02,0.051,True
RES000249,6.26,2.46,1.34,35,45,1.47,10.99,0.082,True
RES000250,3.36,4.71,1.98,20,19,1.67,18.14,0.083,True
RES000251,7.97,0.94,1.57,47,52,2.09,17.06,0.096,False
RES000252,9.58,0.98,0.38,87,91,1.03,6.73,0.021,False
RES000253,2.39,4.75,0.42,86,82,1.27,0.91,0.097,False
RES000254,8.15,3.81,1.82,75,84,1.67,20.35,0.031,True
RES000255,3.99,4.79,0.24,41,51,1.5,12.39,0.028,True
RES000256,5.68,1.22,1.38,45,51,1.32,2.03,0.045,False
RES000257,0.3,2.25,0.63,72,70,1.6,0.01,0.09,False
RES000260,1.85,1.89,0.29,71,80,1.89,10.29,0.065,False
RES000262,2.74,3.3,1.65,27,32,2.05,2.73,0.084,True
RES000263,4.48,3.58,1.31,65,66,2.49,0.78,0.05,False
RES000264,5.66,0.45,1.18,73,73,1.17,20.73,0.071,False
RES000265,9.83,4.69,0.81,62,69,1.13,3.96,0.057,False
RES000267,4.01,1.17,0.83,35,44,1.34,12.22,0.001,False
RES000268,6.8,1.04,0.33,87,85,1.21,19.32,0.084,False
RES000269,4.75,0.34,0.3,52,54,1.67,7.21,0.033,False
RES000272,8.96,4.02,0.98,38,44,2.23,20.18,0.006,True
RES000275,7.61,0.5,0.99,87,93,1.26,19.83,0.028,True
RES000279,3.42,1.11,1.81,18,25,2.19,1.49,0.062,False
RES000280,9.98,4.21,1.62,90,91,1.06,10.05,0.088,False
RES000282,7.63,2.46,0.47,27,32,1.48,1.49,0.083,False
RES000284,6.75,3.26,0.17,65,61,2.31,6.82,0.067,True
RES000286,3.52,4.49,1.0,82,80,1.46,24.75,0.02,True
RES000287,9.18,0.87,1.72,15,18,2.11,13.76,0.083,False
RES000288,6.55,2.19,1.88,45,54,1.37,18.76,0.025,True
RES000289,9.59,2.87,0.22,58,61,1.74,10.99,0.095,False
RES000291,7.63,0.65,1.52,21,25,1.31,16.14,0.06,True
RES000292,7.62,3.96,1.85,48,47,2.12,18.94,0.065,False
RES000293,4.29,1.51,1.14,81,86,1.14,1.48,0.086,False
RES000294,6.27,3.72,2.0,88,92,2.13,12.53,0.089,False
RES000295,3.93,2.76,0.76,78,86,1.61,15.0,0.034,False
RES000297,3.09,1.67,1.37,19,20,1.13,15.42,0.058,False
RES000298,8.61,1.66,0.58,49,57,2.09,13.75,0.077,True
RES000300,7.66,3.83,1.11,90,97,2.0,6.16,0.091,True
RES000301,9.14,2.64,1.9,32,42,1.08,13.1,0.09,True
RES000302,2.39,4.95,1.15,63,61,1.17,2.57,0.024,True
RES000303,2.97,4.3,1.64,88,87,2.26,24.99,0.057,True
RES000304,9.04,3.65,1.5,57,56,1.49,18.08,0.03,False
RES000305,4.09,4.02,0.74,32,31,2.04,19.35,0.002,False
RES000306,9.15,0.49,0.66,72,82,1.98,20.92,0.08,False
RES000307,8.9,1.77,0.81,74,82,1.54,18.33,0.022,True
RES000308,0.65,2.7,1.63,55,63,2.31,14.04,0.051,True
RES000310,7.07,2.18,0.66,88,96,2.24,4.17,0.093,True
RES000312,2.54,3.78,1.06,84,83,2.32,8.8,0.068,False
RES000314,5.03,0.66,0.06,67,72,1.9,20.35,0.021,False
RES000315,7.83,3.12,0.11,44,45,1.23,23.13,0.079,False
RES000316,2.26,4.4,0.39,84,82,2.2,24.93,0.059,True
RES000320,1.1,1.61,0.46,61,57,1.47,19.75,0.026,True
RES000321,5.26,0.36,1.68,60,64,2.34,0.63,0.062,False
RES000324,4.49,0.28,1.39,29,31,1.69,19.18,0.044,True
RES000325,7.57,4.7,0.93,21,18,2.37,23.09,0.067,True
RES000326,4.19,1.78,0.41,32,35,2.19,11.04,0.041,False
RES000327,6.73,1.42,1.58,57,58,2.05,20.59,0.045,False
RES000329,1.18,2.53,1.37,68,71,1.1,13.19,0.043,True
RES000334,0.63,4.26,0.06,89,89,2.29,17.41,0.004,False
RES000339,0.09,1.09,0.32,68,74,1.78,24.9,0.085,True
RES000340,1.9,3.76,1.98,21,21,1.38,8.91,0.014,True
RES000341,5.35,0.22,1.2,68,74,2.04,19.63,0.018,True
RES000343,3.27,1.5,0.53,41,47,1.77,2.73,0.004,True
RES000344,7.65,0.86,0.65,51,47,1.57,4.19,0.008,True
RES000345,2.61,2.75,0.65,51,49,2.31,1.31,0.049,True
RES000346,9.45,1.94,1.58,18,24,2.35,2.92,0.093,False
RES000348,9.9,2.16,0.56,75,85,1.94,16.42,0.06,False
RES000351,6.07,4.9,0.43,42,44,2.16,22.48,0.063,True
RES000353,0.52,3.91,0.7,42,46,2.37,22.43,0.043,True
RES000354,8.58,2.97,0.66,69,78,1.59,24.43,0.048,False
RES000355,6.37,4.72,1.75,83,82,1.15,3.82,0.02,True
RES000356,9.5,1.7,1.16,67,64,1.59,2.37,0.043,True
RES000357,2.16,1.04,1.58,62,61,1.36,4.14,0.019,False
RES000358,7.82,3.53,0.97,25,29,1.8,13.29,0.052,False
RES000359,9.46,3.68,0.09,66,76,1.18,16.4,0.023,False
RES000362,9.9,2.65,0.36,18,27,1.02,6.08,0.062,True
RES000363,0.29,3.59,1.35,74,79,1.34,18.83,0.07,False
RES000368,9.61,2.88,1.26,73,69,1.1,2.36,0.084,True
RES000369,6.85,3.65,1.18,25,21,1.48,15.55,0.088,False
RES000371,0.99,4.42,1.39,84,85,1.48,4.14,0.081,False
RES000372,9.81,0.3,0.5,53,55,1.57,5.55,0.054,True
RES000373,4.65,4.73,0.64,89,86,1.41,18.84,0.024,True
RES000374,5.18,4.09,1.78,54,56,1.95,17.51,0.021,True
RES000375,4.86,2.52,0.46,30,38,2.06,4.77,0.035,False
RES000376,7.4,1.44,0.11,51,51,2.4,3.24,0.013,False
RES000377,5.77,3.44,1.3,30,30,1.72,23.25,0.048,False
RES000378,1.95,1.46,1.45,56,63,1.26,24.41,0.067,True
RES000379,8.16,4.99,1.83,79,82,1.09,15.8,0.002,True
RES000381,3.39,2.41,1.43,21,20,2.38,24.49,0.037,False
RES000382,2.72,2.59,0.01,87,85,2.09,6.86,0.059,True
RES000384,6.45,3.47,0.2,65,66,1.77,12.96,0.039,True
RES000385,3.07,2.14,0.74,89,87,2.31,4.2,0.044,False
RES000388,9.52,2.27,0.08,48,56,2.3,1.85,0.078,False
RES000389,2.83,4.57,0.9,73,75,1.56,21.67,0.003,False
RES000390,8.16,0.25,1.8,77,87,1.27,15.18,0.044,True
RES000391,2.48,0.18,0.25,29,25,2.07,5.72,0.05,True
RES000392,8.56,4.71,1.31,39,48,1.56,21.55,0.001,True
RES000393,0.69,2.65,0.67,83,79,1.43,11.94,0.002,True
RES000394,7.13,3.98,1.16,81,79,2.21,14.03,0.091,True
RES000395,6.71,4.81,0.19,47,50,1.5,2.85,0.024,True
RES000396,8.8,1.35,0.08,86,93,2.03,17.38,0.082,False
RES000397,9.52,1.33,1.8,69,78,2.15,8.97,0.062,True
RES000398,7.19,1.11,1.27,64,66,1.81,13.09,0.074,True
RES000399,9.73,3.73,1.22,25,30,1.35,21.91,0.049,True
RES000400,2.82,2.14,1.1,87,96,1.85,6.23,0.002,False
RES000402,7.16,4.6,1.04,87,93,1.97,7.26,0.007,False
RES000403,9.39,1.69,1.57,84,82,1.32,6.62,0.001,False
RES000404,9.48,3.98,1.71,90,93,1.1,15.45,0.087,False
RES000405,3.75,2.97,1.93,18,26,1.54,22.25,0.023,False
RES000406,9.7,1.9,0.25,17,16,2.45,24.75,0.086,True
RES000408,4.16,0.82,1.25,17,26,1.8,17.46,0.02,True
RES000410,0.91,3.66,1.57,32,29,1.9,23.02,0.029,True
RES000415,0.99,2.49,0.14,19,26,2.35,8.65,0.045,True
RES000416,3.61,0.03,0.01,71,74,2.31,24.83,0.027,True
RES000417,7.68,4.35,1.9,32,39,2.01,21.08,0.06,False
RES000418,0.04,0.99,1.16,22,26,1.8,23.96,0.09,True
RES000420,8.0,2.06,1.38,78,77,1.54,11.36,0.048,True
RES000421,2.39,2.17,1.08,67,64,1.05,12.58,0.003,False
RES000423,0.47,4.86,0.62,40,43,1.74,9.56,0.002,False
RES000424,7.02,0.14,1.94,72,74,1.47,3.5,0.011,True
RES000425,4.0,3.8,0.71,28,32,2.49,5.62,0.098,False
RES000426,8.14,2.77,1.22,72,78,1.28,1.51,0.084,True
RES000430,8.04,3.92,0.48,15,10,1.94,8.89,0.058,True
RES000431,1.11,2.2,0.96,68,77,2.27,15.12,0.024,True
RES000432,7.02,1.69,1.91,18,24,2.13,1.31,0.037,True
RES000433,9.87,0.05,0.61,82,92,2.38,21.1,0.061,False
RES000434,9.34,1.48,1.29,90,94,2.05,19.94,0.036,False
RES000435,7.84,4.54,1.09,76,74,1.33,13.26,0.076,False
RES000437,7.66,4.43,0.78,61,66,2.39,7.71,0.012,True
RES000438,4.26,1.21,0.62,55,58,1.49,24.35,0.017,False
RES000439,1.67,0.24,1.3,41,39,2.32,24.84,0.081,False
RES000440,3.09,0.03,0.27,65,64,1.61,5.72,0.018,True
RES000441,6.26,3.98,1.54,74,79,1.61,16.45,0.092,False
RES000444,0.28,4.83,0.34,31,34,1.5,6.46,0.02,False
RES000445,6.29,2.96,1.53,63,72,1.7,5.14,0.019,False
RES000448,9.55,1.06,1.59,72,79,1.99,4.03,0.098,True
RES000449,6.11,3.47,0.76,36,38,2.32,14.59,0.093,False
RES000450,3.14,0.5,1.84,26,30,1.3,4.36,0.066,False
RES000451,2.51,1.52,0.64,52,49,1.11,0.24,0.047,False
RES000452,8.69,1.71,0.9,84,94,1.95,21.93,0.066,False
RES000454,1.45,4.29,0.83,75,74,1.54,13.95,0.028,False
RES000456,5.42,1.42,1.67,57,65,2.11,4.86,0.009,False
RES000457,3.21,1.09,0.99,76,81,2.38,18.99,0.081,False
RES000458,8.42,4.81,1.39,45,41,1.2,7.94,0.082,False
RES000461,1.9,3.62,0.55,54,52,2.42,11.95,0.061,True
RES000462,6.91,3.25,0.5,66,75,1.18,13.42,0.074,True
RES000463,0.04,2.43,0.05,74,82,1.13,9.52,0.082,False
RES000464,7.24,3.83,1.36,23,23,1.57,9.81,0.06,False
RES000465,9.05,4.53,1.75,19,27,2.27,3.17,0.089,False
RES000469,2.02,4.75,0.24,89,94,1.0,20.28,0.065,True
RES000471,1.86,3.14,0.14,40,38,1.08,2.57,0.061,False
RES000472,4.96,2.36,0.72,84,94,1.38,8.9,0.061,True
RES000475,4.56,1.54,0.2,59,69,1.89,13.12,0.055,True
RES000476,5.44,2.84,1.76,53,61,1.07,23.72,0.044,False
RES000477,9.31,4.83,0.41,71,76,1.3,6.24,0.048,False
RES000478,4.51,0.23,0.1,55,50,1.41,2.46,0.094,True
RES000479,1.13,4.83,0.59,29,34,2.43,19.98,0.038,True
RES000480,7.48,2.26,0.79,80,82,1.6,18.17,0.09,True
RES000481,3.27,1.55,0.64,88,86,2.02,14.34,0.038,False
RES000482,9.91,1.77,0.24,17,25,1.26,2.92,0.055,False
RES000484,3.5,1.76,0.3,29,24,1.03,9.64,0.039,False
RES000485,8.17,1.71,1.45,28,27,1.92,0.13,0.033,False
RES000487,0.96,0.19,0.97,73,80,2.33,19.14,0.04,False
RES000490,2.03,1.68,0.61,57,58,2.41,19.01,0.061,True
RES000491,6.24,0.41,1.09,40,47,1.69,17.77,0.022,True
RES000492,1.42,4.0,1.0,56,62,2.5,12.23,0.073,False
RES000493,5.11,4.58,0.77,41,43,2.05,7.8,0.056,False
RES000494,1.06,4.56,1.02,87,93,1.56,18.98,0.014,False
RES000496,5.99,4.71,1.0,60,67,2.2,10.15,0.014,True
RES000498,7.89,0.25,1.11,90,94,1.6,3.55,0.067,True
RES000500,4.59,4.09,1.04,72,70,1.65,15.56,0.042,False
RES000503,8.69,2.79,0.12,56,63,1.91,24.58,0.021,True
RES000506,4.16,4.44,0.31,51,57,1.03,14.26,0.069,True
RES000508,9.1,3.81,0.32,53,53,1.99,4.67,0.064,False
RES000509,9.77,2.16,0.33,70,77,1.23,12.34,0.049,False
RES000510,1.25,0.27,0.42,83,81,1.23,4.29,0.098,True
RES000511,1.46,3.09,0.91,50,45,2.15,17.46,0.088,False
RES000513,2.51,2.01,0.89,46,55,1.61,8.21,0.097,True
RES000514,5.39,3.54,0.67,90,93,1.77,22.88,0.024,False
RES000515,8.63,4.81,0.66,75,82,1.38,4.79,0.006,True
RES000516,4.68,2.46,0.28,33,36,1.81,18.02,0.057,True
RES000517,8.68,3.74,0.63,66,76,1.92,20.46,0.058,True
RES000520,8.44,3.43,1.88,90,97,1.15,20.13,0.093,True
RES000521,1.97,1.91,0.32,77,77,1.8,13.42,0.052,False
RES000522,7.78,4.01,1.3,45,51,1.97,1.75,0.052,True
RES000524,5.86,1.05,1.96,63,70,1.15,22.58,0.069,False
RES000525,0.41,0.07,0.34,34,34,1.3,20.67,0.021,False
RES000526,0.55,2.58,0.75,29,28,2.12,5.06,0.054,False
RES000528,2.11,2.37,1.53,57,60,1.94,6.7,0.007,True
RES000531,7.42,4.87,0.48,86,87,1.65,3.72,0.054,False
RES000533,1.31,3.53,0.9,42,44,1.48,7.18,0.016,True
RES000535,3.67,4.31,0.94,89,92,1.75,12.74,0.03,True
RES000536,9.6,4.81,0.92,48,48,2.32,16.04,0.016,False
RES000537,5.61,2.21,1.15,15,16,1.22,3.28,0.065,True
RES000538,3.71,3.76,0.48,39,34,2.42,5.07,0.014,False
RES000539,5.48,4.35,1.31,46,41,1.14,22.83,0.003,True
RES000540,6.17,2.12,0.05,46,51,2.12,3.64,0.072,False
RES000542,4.42,4.82,0.62,35,33,2.48,9.25,0.085,True
RES000544,9.44,2.14,1.88,72,69,1.82,21.36,0.088,False
RES000546,7.44,0.97,0.2,59,65,1.69,1.6,0.024,False
RES000547,4.99,1.44,0.4,71,80,1.66,13.64,0.003,True
RES000548,8.94,2.5,1.75,88,96,2.36,8.73,0.094,True
RES000549,2.28,1.2,1.47,75,74,1.42,13.83,0.037,True
RES000550,3.81,0.47,0.08,25,29,1.08,15.42,0.05,False
RES000551,3.28,1.49,0.79,38,33,1.28,17.61,0.03,False
RES000552,5.71,2.78,1.96,83,88,2.11,2.7,0.014,True
RES000555,8.16,3.62,1.78,84,90,2.42,21.61,0.014,True
RES000557,1.91,2.53,1.57,30,38,2.32,15.35,0.067,True
RES000558,1.49,3.79,0.83,53,53,2.25,8.87,0.047,False
RES000559,7.22,0.07,1.63,60,66,1.5,11.51,0.064,False
RES000560,7.02,3.0,1.6,56,63,1.34,10.7,0.097,False
RES000561,1.59,3.43,1.96,26,28,1.76,4.92,0.021,False
RES000562,6.28,4.51,1.53,54,62,1.73,18.86,0.092,False
RES000564,8.18,2.62,1.58,84,90,2.31,16.97,0.089,False
RES000565,0.69,2.17,1.77,85,91,1.4,20.95,0.033,True
RES000568,0.64,4.57,1.44,89,94,1.33,5.76,0.087,True
RES000569,6.08,1.27,1.69,35,38,2.2,9.78,0.067,False
RES000570,2.83,1.9,1.0,78,76,2.08,10.69,0.089,True
RES000571,0.22,3.09,1.39,76,84,1.81,24.46,0.094,True
RES000573,1.16,2.34,0.11,17,25,2.27,5.64,0.092,False
RES000575,4.82,1.75,1.5,20,22,2.42,0.64,0.054,False
RES000577,1.47,4.38,1.37,52,62,1.15,23.11,0.065,False
RES000581,4.44,3.81,0.15,68,66,1.46,3.06,0.007,False
RES000582,5.0,2.86,0.35,49,53,2.23,2.63,0.044,True
RES000583,5.12,0.09,0.05,21,27,1.98,11.16,0.061,True
RES000584,4.63,2.63,1.99,67,65,1.02,20.89,0.046,True
RES000585,3.16,0.76,1.67,58,63,1.14,15.8,0.041,False
RES000586,0.84,1.56,1.56,73,71,2.12,23.12,0.089,False
RES000587,2.81,4.46,1.83,68,71,1.55,8.45,0.026,False
RES000588,5.92,4.75,0.46,77,87,2.3,23.57,0.05,False
RES000589,1.97,1.76,0.88,54,58,1.17,3.29,0.006,False
RES000592,6.7,4.94,1.68,63,73,1.91,8.5,0.049,False
RES000594,4.62,2.0,1.65,64,62,1.76,14.07,0.075,True
