Restaurant_ID,Average_menu_price,Most_common_cuisine,Average_delivery_time,Popularity_score,Estimated_value_score
RES000083,93.64,Thai,95,24.9,4.5
RES000084,80.26,Indian,49,26.7,0.5
RES000085,83.14,Burger,,87.2,9.6
RES000086,93.27,Japanese,,42.4,3.4
RES000087,88.91,Brazilian,,6.2,1.5
RES000088,106.88,Brazilian,,64.3,0.9
RES000089,81.69,Burger,22,37.4,5.6
RES000090,30.27,French,66,56.1,6.1
RES000091,24.89,French,80,56.7,6.9
RES000092,66.81,American,,83.6,7.8
RES000093,21.13,American,16,68.2,7.0
RES000094,118.51,Japanese,74,2.9,0.6
RES000095,60.79,Mexican,,46.4,8.0
RES000096,105.76,Indian,59,8.2,6.3
RES000097,66.32,Thai,,60.0,2.1
RES000098,20.12,Indian,60,88.1,8.2
RES000099,23.3,Indian,55,64.4,9.6
RES000100,77.65,Thai,94,58.1,3.9
RES000101,41.88,Italian,57,48.3,2.1
RES000102,58.52,Chinese,45,16.6,3.9
RES000103,26.44,Indian,90,23.0,5.5
RES000104,65.68,Mexican,,38.9,3.6
RES000105,78.03,Japanese,23,36.3,7.7
RES000106,20.35,Indian,41,61.1,3.0
RES000107,69.74,Thai,23,50.0,2.9
RES000108,63.91,American,,62.3,1.3
RES000109,78.21,Japanese,,0.2,3.1
RES000110,41.8,Chinese,,38.1,2.9
RES000111,21.21,Mexican,76,35.3,8.1
RES000112,93.07,Thai,56,94.6,9.0
RES000113,20.28,Indian,,86.3,4.2
RES000114,36.91,American,88,59.4,2.6
RES000115,20.64,French,28,25.7,3.6
RES000116,23.91,Chinese,,48.4,2.0
RES000117,25.54,Indian,,24.4,1.1
RES000118,19.7,Thai,57,98.2,5.6
RES000119,29.24,Italian,,80.1,1.9
RES000120,108.2,Mexican,,21.4,2.4
RES000121,101.53,Pizza,,36.9,2.2
RES000122,19.21,Burger,78,10.4,9.8
RES000123,83.84,Thai,25,47.5,0.1
RES000124,94.29,Chinese,56,27.8,1.0
RES000125,63.37,American,55,67.6,2.1
RES000126,25.74,Japanese,78,10.1,4.5
RES000127,50.8,Indian,78,3.1,6.9
RES000128,67.29,Chinese,,53.2,2.7
RES000129,52.07,Pizza,30,50.2,4.0
RES000130,68.61,Pizza,35,98.2,9.6
RES000131,48.32,Japanese,,21.3,1.8
RES000132,22.17,French,92,69.4,4.1
RES000133,44.19,Japanese,59,8.8,0.1
RES000134,78.64,Brazilian,,13.4,7.5
RES000135,59.06,Mexican,88,45.2,5.8
RES000136,51.07,American,45,70.0,4.1
RES000137,40.34,Thai,85,82.9,1.4
RES000138,37.35,Japanese,67,6.6,8.9
RES000139,66.88,Pizza,26,50.7,6.7
RES000140,100.45,Mediterranean,37,55.0,9.8
RES000141,37.71,Chinese,75,1.9,2.2
RES000142,22.3,Japanese,56,11.9,5.5
RES000143,20.96,Brazilian,97,68.9,4.1
RES000144,82.63,Brazilian,,30.3,0.8
RES000145,83.05,Italian,,64.9,3.0
RES000146,75.81,Japanese,,24.2,7.5
RES000147,74.38,Mediterranean,,16.4,0.3
RES000148,85.4,Italian,25,6.0,8.1
RES000149,39.57,Mediterranean,79,30.4,6.2
RES000150,21.61,French,,8.5,0.5
RES000151,28.92,Pizza,,66.2,3.2
RES000152,44.74,American,90,88.6,0.6
RES000153,70.04,Mexican,23,17.8,9.8
RES000154,43.7,Japanese,76,38.4,4.8
RES000155,106.07,Burger,19,100.0,4.6
RES000156,50.79,Italian,53,74.9,3.3
RES000157,67.37,Mediterranean,,36.2,4.3
RES000158,63.71,American,,19.8,3.0
RES000159,33.21,Pizza,31,8.9,3.9
RES000160,48.04,Mexican,,46.2,4.9
RES000161,18.37,Mediterranean,,23.1,3.2
RES000162,31.52,American,18,67.8,9.2
RES000163,52.17,Japanese,20,60.7,6.7
RES000164,116.4,Chinese,68,65.0,1.5
RES000165,43.22,Italian,,57.2,4.0
RES000166,64.05,Pizza,42,64.4,2.2
RES000167,98.32,Indian,69,5.2,4.3
RES000168,44.96,Brazilian,42,70.2,6.8
RES000169,48.76,Indian,68,18.6,6.8
RES000170,77.89,Mediterranean,,43.6,3.2
RES000171,71.7,Pizza,23,0.1,0.2
RES000172,43.75,Burger,93,28.5,5.6
RES000173,39.65,Chinese,84,61.9,7.2
RES000174,28.51,Italian,25,67.0,2.8
RES000175,23.59,Chinese,97,19.3,2.0
RES000176,85.89,Mediterranean,57,72.5,8.3
RES000177,18.96,Pizza,47,80.7,0.9
RES000178,23.46,Italian,,36.1,4.0
RES000179,50.17,Pizza,,63.0,0.4
RES000180,18.68,Italian,,5.1,9.4
RES000181,20.28,Indian,29,72.1,8.1
RES000182,19.19,Brazilian,,40.3,8.6
RES000183,49.31,Pizza,24,6.6,2.6
RES000184,23.14,Chinese,,60.9,1.1
RES000185,23.44,American,,57.2,6.3
RES000186,25.73,Chinese,71,76.3,8.7
RES000187,22.23,Chinese,41,1.5,10.0
RES000188,77.37,Mexican,49,82.5,0.8
RES000189,61.43,Brazilian,84,86.9,4.3
RES000190,84.15,Indian,86,61.4,0.5
RES000191,84.31,Pizza,,18.8,6.2
RES000192,76.08,Mexican,,6.7,7.0
RES000193,74.45,American,40,53.0,7.5
RES000194,44.35,Chinese,33,78.4,3.0
RES000195,81.67,Indian,29,64.9,3.7
RES000196,59.27,Mexican,,10.0,4.0
RES000197,97.38,Pizza,,99.3,3.1
RES000198,69.64,Pizza,,95.3,3.2
RES000199,45.26,Mediterranean,,14.0,0.7
RES000200,52.93,Thai,75,65.3,8.5
RES000201,45.29,Thai,59,66.5,4.9
RES000202,23.49,Japanese,65,80.0,6.7
RES000203,54.61,Japanese,66,85.4,7.8
RES000204,49.35,American,69,88.5,2.9
RES000205,28.45,French,50,93.7,1.5
RES000206,22.56,Indian,90,93.4,6.2
RES000207,74.07,French,72,95.0,3.4
RES000208,103.35,Pizza,71,98.1,4.6
RES000209,43.93,American,,13.9,7.4
RES000210,20.22,Italian,61,14.1,3.7
RES000211,33.7,Pizza,73,51.4,6.9
RES000212,124.98,Mexican,,38.9,3.8
RES000213,57.52,Thai,,31.1,6.0
RES000214,88.02,Japanese,32,78.1,8.3
RES000215,24.03,French,,4.4,3.9
RES000216,23.56,Thai,68,18.8,4.8
RES000217,37.9,French,66,15.7,5.8
RES000218,76.86,Indian,49,13.9,3.4
RES000219,63.4,American,,29.8,8.1
RES000220,24.68,Italian,,37.1,4.8
RES000221,76.57,Chinese,27,52.0,4.0
RES000222,101.44,Brazilian,66,64.6,7.5
RES000223,84.61,Indian,59,75.3,4.3
RES000224,79.27,Indian,63,56.5,8.0
RES000225,82.46,Japanese,31,74.4,6.9
RES000226,23.33,Burger,44,88.5,5.5
RES000227,100.03,Brazilian,65,22.6,4.2
RES000228,74.53,Indian,70,13.8,9.9
RES000229,71.07,Japanese,,50.9,2.4
RES000230,49.68,Thai,31,41.5,0.3
RES000231,42.19,Japanese,37,37.8,3.0
RES000232,34.39,American,,90.4,5.2
RES000233,93.59,Italian,,88.0,8.9
RES000234,50.05,Indian,,83.2,2.6
RES000235,61.87,Japanese,83,80.1,2.4
RES000236,70.06,Burger,,87.1,6.1
RES000237,22.23,French,,26.0,9.6
RES000238,71.75,Brazilian,98,69.4,7.3
RES000239,24.44,American,,0.1,9.5
RES000240,36.67,Thai,,34.9,8.9
RES000241,82.76,Brazilian,,55.9,3.8
RES000242,34.58,Mexican,58,45.6,2.4
RES000243,22.65,Burger,68,87.2,7.7
RES000244,21.04,Mediterranean,80,63.7,9.5
RES000245,22.04,Brazilian,,94.3,1.9
RES000246,57.66,Japanese,36,66.5,1.4
RES000247,29.72,French,86,24.3,9.5
RES000248,22.84,Indian,,25.1,1.9
RES000249,94.94,Burger,45,26.9,2.9
RES000250,39.56,French,19,90.3,7.8
RES000251,60.86,Brazilian,52,70.8,2.5
RES000252,40.69,Japanese,91,58.0,4.3
RES000253,18.37,Indian,82,27.8,2.8
RES000254,44.39,Mediterranean,84,19.6,1.2
RES000255,21.84,Italian,51,18.1,3.5
RES000256,20.07,American,51,66.7,1.1
RES000257,78.08,Thai,70,28.9,8.2
RES000258,92.06,French,,95.8,3.4
RES000259,88.16,French,,31.6,1.0
RES000260,23.36,Burger,80,41.3,3.4
RES000261,49.53,Pizza,,37.0,1.8
RES000262,79.11,Italian,32,85.3,6.7
RES000263,48.89,Indian,66,78.7,7.5
RES000264,62.05,Japanese,73,90.8,7.0
RES000265,66.95,French,69,100.0,7.0
RES000266,25.67,American,,33.0,8.2
RES000267,25.38,Indian,44,72.6,5.3
RES000268,44.88,French,85,50.2,8.7
RES000269,16.81,American,54,93.6,2.7
RES000270,85.78,Chinese,,21.5,5.4
RES000271,23.74,Brazilian,,2.8,4.7
RES000272,102.33,American,44,65.4,8.3
RES000273,105.87,Chinese,,52.4,1.6
RES000274,19.43,Thai,,45.8,1.3
RES000275,24.89,Thai,93,12.6,3.1
RES000276,19.19,Indian,,28.0,7.7
RES000277,57.24,Brazilian,,11.2,6.0
RES000278,94.9,Mediterranean,,33.2,8.6
RES000279,90.25,Chinese,25,89.1,1.0
RES000280,48.55,Thai,91,50.2,8.7
RES000281,97.48,Italian,,83.4,5.1
RES000282,25.17,Chinese,32,99.8,8.1
RES000283,25.31,Thai,,35.7,4.9
RES000284,81.61,Mediterranean,61,26.0,10.0
RES000285,49.43,American,,42.6,1.1
RES000286,16.05,French,80,63.9,0.6
RES000287,44.88,Japanese,18,82.0,2.2
RES000288,82.34,Mediterranean,54,78.4,1.7
RES000289,94.14,Japanese,61,13.1,6.7
RES000290,70.24,Mediterranean,,91.3,0.1
RES000291,19.62,Pizza,25,31.5,7.4
RES000292,22.7,American,47,38.1,0.1
RES000293,99.56,Japanese,86,11.5,9.9
RES000294,46.84,Japanese,92,83.0,0.9
RES000295,55.1,Chinese,86,88.5,5.7
RES000296,26.55,Pizza,,45.4,0.7
RES000297,62.81,Brazilian,20,32.7,2.2
RES000298,63.23,Pizza,57,69.3,9.4
RES000299,53.84,French,,86.9,6.4
RES000300,90.13,Indian,97,4.9,2.8
RES000301,46.38,Italian,42,78.3,3.6
RES000302,70.37,French,61,89.1,4.7
RES000303,54.83,Pizza,87,16.8,8.4
RES000304,70.67,Burger,56,85.0,0.9
RES000305,75.15,Burger,31,57.2,3.4
RES000306,102.34,Mexican,82,28.8,8.5
RES000307,26.98,Brazilian,82,55.3,7.9
RES000308,23.19,Mexican,63,88.4,3.2
RES000309,104.88,Indian,,37.0,1.8
RES000310,74.32,Mexican,96,81.5,5.7
RES000311,26.47,Mediterranean,,68.7,2.8
RES000312,85.43,Thai,83,95.3,3.2
RES000313,52.21,Pizza,,96.7,9.8
RES000314,48.82,Brazilian,72,2.6,9.6
RES000315,36.44,Japanese,45,90.8,9.6
RES000316,20.11,Pizza,82,87.9,5.4
RES000317,65.71,Thai,,87.9,4.0
RES000318,49.38,Thai,,98.2,0.5
RES000319,73.86,Indian,,6.2,3.0
RES000320,24.04,American,57,17.5,4.1
RES000321,69.54,Mexican,64,92.7,9.7
RES000322,77.69,American,,66.9,3.9
RES000323,60.35,Brazilian,,17.7,1.0
RES000324,105.3,American,31,56.3,1.6
RES000325,94.48,Mediterranean,18,72.5,8.1
RES000326,72.12,Chinese,35,84.9,0.7
RES000327,80.89,Japanese,58,87.0,7.1
RES000328,59.77,Indian,,17.2,0.6
RES000329,47.73,Italian,71,80.5,3.9
RES000330,102.6,Japanese,,20.6,8.0
RES000331,44.32,Mediterranean,,53.0,2.8
RES000332,22.07,Burger,,22.1,3.8
RES000333,37.79,Mediterranean,,95.2,4.4
RES000334,22.86,American,89,16.9,0.8
RES000335,27.3,Thai,,88.5,0.6
RES000336,76.71,Thai,,83.9,2.2
RES000337,74.69,Pizza,,53.4,8.7
RES000338,69.0,American,,2.5,4.0
RES000339,95.63,Indian,74,75.9,7.3
RES000340,63.96,Indian,21,7.4,2.4
RES000341,69.58,Japanese,74,11.8,1.1
RES000342,73.62,Chinese,,56.2,6.4
RES000343,58.26,Mexican,47,47.2,9.6
RES000344,23.57,Pizza,47,42.1,7.0
RES000345,26.45,Mediterranean,49,63.8,9.9
RES000346,48.89,Brazilian,24,27.4,2.7
RES000347,24.48,French,,79.2,2.1
RES000348,39.99,French,85,73.1,7.3
RES000349,50.35,Pizza,,72.9,2.8
RES000350,83.1,Indian,,72.9,0.9
RES000351,69.97,Brazilian,44,40.3,9.0
RES000352,39.48,Thai,,68.2,6.8
RES000353,60.92,Mexican,46,6.2,8.5
RES000354,43.45,French,78,60.0,9.8
RES000355,88.2,Pizza,82,11.6,9.0
RES000356,33.47,Mediterranean,64,27.2,1.9
RES000357,22.9,Burger,61,86.1,0.2
RES000358,48.5,Pizza,29,96.8,9.1
RES000359,77.42,Indian,76,74.1,4.9
RES000360,20.65,Mexican,,19.4,6.6
RES000361,23.58,Thai,,43.9,0.4
RES000362,67.18,Indian,27,24.0,1.1
RES000363,54.78,Italian,79,61.8,4.7
RES000364,64.76,Italian,,97.5,0.8
RES000365,75.51,Indian,,0.4,9.5
RES000366,23.52,Mexican,,38.3,5.3
RES000367,42.36,Burger,,14.1,4.0
RES000368,74.48,Brazilian,69,55.2,9.1
RES000369,39.45,Indian,21,70.7,9.1
RES000370,35.26,Italian,,55.5,9.9
RES000371,42.59,Japanese,85,77.4,1.1
RES000372,65.88,Indian,55,71.9,9.1
RES000373,56.46,Indian,86,88.2,8.9
RES000374,24.07,Pizza,56,84.5,5.8
RES000375,57.05,Chinese,38,14.8,6.7
RES000376,24.3,Pizza,51,95.3,7.8
RES000377,24.18,Japanese,30,7.3,9.1
RES000378,52.83,French,63,10.1,2.7
RES000379,67.32,Mexican,82,63.0,0.6
RES000380,49.9,Japanese,,72.8,1.5
RES000381,24.48,American,20,95.6,7.1
RES000382,24.15,French,85,76.1,4.7
RES000383,21.88,Burger,,70.7,3.8
RES000384,92.48,Pizza,66,71.5,7.5
RES000385,91.25,Japanese,87,16.5,0.0
RES000386,46.41,French,,42.5,2.2
RES000387,41.72,Burger,,12.2,4.3
RES000388,48.68,Italian,56,51.9,8.1
RES000389,67.81,American,75,10.9,5.3
RES000390,24.47,Chinese,87,23.7,1.1
RES000391,53.26,Brazilian,25,4.1,5.4
RES000392,21.04,Indian,48,18.5,4.2
RES000393,20.29,Pizza,79,88.9,3.2
RES000394,65.84,Mediterranean,79,88.5,4.9
RES000395,51.32,Mexican,50,55.4,2.5
RES000396,88.29,Pizza,93,57.1,6.4
RES000397,72.15,Mediterranean,78,29.0,4.3
RES000398,69.52,American,66,50.5,9.7
RES000399,39.81,Japanese,30,72.7,2.7
RES000400,39.39,American,96,20.8,6.6
RES000401,22.57,French,,3.0,0.1
RES000402,84.67,Burger,93,90.2,9.3
RES000403,58.64,American,82,9.1,4.3
RES000404,92.41,Pizza,93,7.4,0.0
RES000405,101.32,Indian,26,64.5,4.4
RES000406,86.29,French,16,35.2,4.1
RES000407,72.37,French,,0.8,1.6
RES000408,23.04,Thai,26,77.0,9.5
RES000409,20.05,Mediterranean,,51.3,4.0
RES000410,18.31,Brazilian,29,20.8,1.6
RES000411,51.48,Pizza,,84.1,8.5
RES000412,34.21,Mexican,,94.8,5.1
RES000413,57.71,Mexican,,80.6,1.9
RES000414,67.91,Thai,,7.5,3.6
RES000415,21.0,Thai,26,68.3,9.7
RES000416,48.11,Mexican,74,25.2,7.7
RES000417,43.96,Pizza,39,26.4,6.1
RES000418,70.8,Pizza,26,11.4,5.4
RES000419,41.74,French,,70.9,9.7
RES000420,24.72,French,77,29.6,7.9
RES000421,79.96,French,64,56.0,2.9
RES000422,34.4,Burger,,5.2,7.1
RES000423,21.46,Thai,43,26.4,1.8
RES000424,74.53,Japanese,74,52.8,5.7
RES000425,28.66,American,32,32.8,9.9
RES000426,70.89,Indian,78,57.8,4.3
RES000427,75.27,Mexican,,77.6,2.0
RES000428,19.99,Pizza,,29.1,6.3
RES000429,55.97,French,,28.0,2.6
RES000430,21.83,Mexican,10,14.6,8.4
RES000431,23.63,American,77,50.3,3.5
RES000432,19.83,Pizza,24,15.4,7.4
RES000433,82.72,Chinese,92,14.0,0.9
RES000434,53.72,Japanese,94,26.4,0.4
RES000435,72.1,Burger,74,72.6,4.9
RES000436,21.39,Thai,,15.2,1.7
RES000437,83.53,Mexican,66,47.9,4.0
RES000438,44.34,Chinese,58,53.1,3.4
RES000439,24.22,Brazilian,39,86.7,6.9
RES000440,25.86,Thai,64,35.5,5.5
RES000441,87.21,Mexican,79,41.1,0.6
RES000442,72.96,American,,65.1,8.0
RES000443,23.29,American,,96.2,5.3
RES000444,45.72,Chinese,34,50.3,5.4
RES000445,65.44,American,72,24.4,9.1
RES000446,95.56,Mexican,,65.3,6.6
RES000447,60.58,Brazilian,,82.8,0.8
RES000448,38.06,Japanese,79,34.6,6.7
RES000449,85.13,American,38,9.5,4.9
RES000450,104.97,French,30,95.0,5.2
RES000451,71.41,Chinese,49,63.5,6.3
RES000452,38.13,French,94,5.1,1.4
RES000453,63.1,Thai,,56.8,3.1
RES000454,21.9,Pizza,74,56.7,8.0
RES000455,70.25,American,,5.8,7.6
RES000456,73.17,Brazilian,65,4.3,1.2
RES000457,73.03,Japanese,81,65.6,8.1
RES000458,73.22,Thai,41,30.1,0.2
RES000459,18.24,Mexican,,27.3,2.9
RES000460,89.05,American,,87.9,1.5
RES000461,80.69,Italian,52,20.1,9.9
RES000462,110.45,American,75,90.3,4.8
RES000463,86.03,Indian,82,35.4,5.6
RES000464,23.61,Chinese,23,89.9,0.4
RES000465,86.85,Thai,27,33.3,5.4
RES000466,62.25,Chinese,,61.1,10.0
RES000467,46.74,French,,36.6,8.8
RES000468,25.56,American,,71.3,3.1
RES000469,57.77,Thai,94,9.2,6.5
RES000470,29.43,Chinese,,79.0,1.1
RES000471,19.89,Italian,38,56.9,0.2
RES000472,43.74,French,94,53.8,2.0
RES000473,19.73,Japanese,,48.2,2.5
RES000474,25.98,Italian,,21.5,4.9
RES000475,19.83,Burger,69,84.3,3.9
RES000476,22.65,Brazilian,61,42.0,9.5
RES000477,40.75,French,76,54.6,4.0
RES000478,107.14,Thai,50,73.8,7.5
RES000479,21.89,Thai,34,5.3,8.0
RES000480,46.22,Chinese,82,43.8,7.0
RES000481,61.67,Brazilian,86,37.4,4.4
RES000482,81.48,American,25,52.8,9.8
RES000483,45.01,French,,78.0,6.1
RES000484,38.6,Indian,24,54.4,5.7
RES000485,21.4,Thai,27,39.6,7.3
RES000486,67.39,Brazilian,,38.8,0.8
RES000487,75.98,Burger,80,82.9,9.8
RES000488,41.26,Pizza,,48.1,5.3
RES000489,34.51,Japanese,,88.9,5.0
RES000490,90.0,Mediterranean,58,17.2,5.2
RES000491,37.09,Chinese,47,84.7,0.8
RES000492,72.84,Burger,62,88.7,6.9
RES000493,18.7,Italian,43,11.7,6.1
RES000494,24.55,Thai,93,52.4,6.1
RES000495,61.57,Italian,,37.4,1.5
RES000496,21.06,Italian,67,42.0,3.4
RES000497,68.55,Brazilian,,51.9,8.1
RES000498,62.44,Pizza,94,0.8,0.0
RES000499,43.94,Burger,,91.9,2.0
RES000500,22.41,Italian,70,41.9,6.5
RES000501,21.4,Japanese,,41.0,8.7
RES000502,24.41,Thai,,22.8,2.5
RES000503,72.81,French,63,7.7,5.1
RES000504,62.8,Japanese,,37.7,6.9
RES000505,23.0,Mexican,,82.2,6.7
RES000506,51.67,Pizza,57,57.2,0.9
RES000507,42.99,Mexican,,31.5,4.5
RES000508,42.46,Indian,53,81.7,9.4
RES000509,70.24,Pizza,77,20.2,2.2
RES000510,22.44,Indian,81,4.2,2.0
RES000511,21.32,Burger,45,98.3,6.2
RES000512,38.84,Japanese,,96.2,7.1
RES000513,87.15,Indian,55,48.3,2.1
RES000514,69.65,Pizza,93,83.5,3.9
RES000515,35.45,Japanese,82,34.2,5.2
RES000516,91.24,Mexican,36,45.3,3.4
RES000517,86.59,Mexican,76,14.5,3.0
RES000518,39.25,Chinese,,48.0,6.6
RES000519,78.9,Burger,,27.6,6.2
RES000520,50.42,Pizza,97,68.7,6.4
RES000521,77.58,Chinese,77,10.0,9.7
RES000522,83.2,French,51,99.8,3.5
RES000523,65.99,Mexican,,68.2,1.3
RES000524,43.08,Mediterranean,70,78.2,3.4
RES000525,25.3,American,34,62.5,7.4
RES000526,103.09,American,28,33.1,8.3
RES000527,65.94,American,,49.7,5.6
RES000528,19.43,Chinese,60,89.1,7.0
RES000529,70.8,Indian,,37.3,5.4
RES000530,62.65,American,,13.7,5.7
RES000531,93.54,Mediterranean,87,44.2,2.6
RES000532,93.91,French,,96.1,9.1
RES000533,79.04,Brazilian,44,9.2,8.3
RES000534,57.73,Indian,,2.1,2.2
RES000535,65.16,American,92,51.9,6.9
RES000536,55.97,Italian,48,20.5,0.1
RES000537,82.07,Mediterranean,16,56.0,7.5
RES000538,25.37,Indian,34,8.0,8.8
RES000539,47.21,Mediterranean,41,68.4,3.0
RES000540,46.07,Mexican,51,54.9,8.4
RES000541,92.51,Indian,,35.7,2.4
RES000542,26.16,Thai,33,94.3,7.0
RES000543,37.22,Indian,,23.6,3.0
RES000544,46.61,Mediterranean,69,0.1,7.0
RES000545,67.35,Mexican,,88.5,1.9
RES000546,81.47,French,65,61.9,9.4
RES000547,40.26,Brazilian,80,66.4,4.1
RES000548,73.09,Thai,96,62.3,3.6
RES000549,19.22,Japanese,74,66.0,1.9
RES000550,88.63,French,29,7.5,1.7
RES000551,20.86,Pizza,33,41.2,3.7
RES000552,101.42,Chinese,88,86.9,5.0
RES000553,58.54,Italian,,83.3,1.7
RES000554,81.97,American,,18.7,5.4
RES000555,40.16,Italian,90,68.2,2.9
RES000556,88.64,Japanese,,10.9,4.6
RES000557,83.77,French,38,40.6,9.2
RES000558,83.7,Brazilian,53,0.6,2.9
RES000559,83.7,Brazilian,66,82.7,4.1
RES000560,69.66,Mediterranean,63,39.0,6.1
RES000561,74.35,Mediterranean,28,51.1,8.9
RES000562,47.25,Chinese,62,44.4,4.1
RES000563,89.95,Burger,,53.7,8.4
RES000564,59.5,Chinese,90,43.8,4.7
RES000565,19.32,Mexican,91,54.1,1.3
RES000566,24.96,American,,1.3,2.3
RES000567,49.77,French,,84.6,8.9
RES000568,81.06,Brazilian,94,2.3,4.3
RES000569,47.67,Indian,38,81.4,4.6
RES000570,44.02,Japanese,76,99.7,7.0
RES000571,88.05,Burger,84,37.9,0.0
RES000572,53.54,Indian,,16.5,6.8
RES000573,41.97,Mexican,25,73.9,2.7
RES000574,87.1,Mexican,,20.1,8.4
RES000575,25.24,American,22,59.6,3.1
RES000576,18.21,American,,4.1,2.5
RES000577,24.73,Brazilian,62,97.4,2.9
RES000578,47.98,Mediterranean,,45.9,5.8
RES000579,21.97,Mexican,,49.5,0.8
RES000580,66.17,Mexican,,23.1,3.5
RES000581,22.59,American,66,51.4,3.2
RES000582,19.59,Brazilian,53,49.3,4.1
RES000583,44.13,French,27,98.7,5.6
RES000584,46.65,Pizza,65,15.0,4.7
RES000585,76.26,Brazilian,63,85.1,9.6
RES000586,67.01,American,71,16.3,8.9
RES000587,50.12,Indian,71,72.9,4.5
RES000588,84.58,Japanese,87,37.3,4.0
RES000589,102.39,Pizza,58,4.1,7.6
RES000590,40.08,American,,32.3,3.4
RES000591,44.27,American,,26.5,9.9
RES000592,77.12,American,73,41.9,3.8
RES000593,44.59,Thai,,18.4,0.6
RES000594,79.1,Mexican,62,37.3,8.0
RES000595,20.12,Mexican,,37.7,0.4
RES000596,21.27,Mexican,56,25.6,5.3
RES000597,50.16,Italian,44,46.5,1.5
RES000598,66.84,Indian,,29.0,6.0
RES000599,102.71,American,,41.1,4.2
RES000600,63.22,American,70,41.7,1.6
RES000601,58.85,Pizza,,88.0,0.5
RES000602,79.18,Thai,55,47.1,0.9
RES000603,25.05,Japanese,45,9.1,7.4
RES000604,74.83,Burger,48,81.9,1.8
